kana,kanji,romaji,vietnamese,audio
わたし,私,watashi,tôi,[sound:lesson-01-001.mp3]
あなた,,anata,bạn,[sound:lesson-01-002.mp3]
せんせい,先生,sensei,giáo viên,[sound:lesson-01-003.mp3]
わたしたち,,watashitachi,"chúng tôi, chúng ta",[sound:lesson-01-004.mp3]
あのひと,あの人,anohito,"người kia, người đó",[sound:lesson-01-005.mp3]
あのかた,あの方,anokata,"người kia, người đó (cách nói lịch sự)",[sound:lesson-01-006.mp3]
みなさん,皆さん,minasan,"các anh chị, các ông bà, các bạn, quý vị",[sound:lesson-01-007.mp3]
さん,,san,"anh, chị, ông, bà; hậu tố gọi lịch sự",[sound:lesson-01-008.mp3]
ちゃん,,chan,hậu tố thân mật dùng sau tên trẻ em,[sound:lesson-01-009.mp3]
くん,君,kun,hậu tố dùng sau tên em trai hoặc nam giới trẻ,[sound:lesson-01-010.mp3]
じん,人,jin,người nước ~,[sound:lesson-01-011.mp3]
きょうし,教師,kyoushi,giáo viên,[sound:lesson-01-012.mp3]
がくせい,学生,gakusei,"học sinh, sinh viên",[sound:lesson-01-013.mp3]
かいしゃいん,会社員,kaishain,nhân viên công ty,[sound:lesson-01-014.mp3]
しゃいん,社員,shain,nhân viên công ty; dùng kèm tên công ty,[sound:lesson-01-015.mp3]
ぎんこういん,銀行員,ginkouin,nhân viên ngân hàng,[sound:lesson-01-016.mp3]
いしゃ,医者,isha,bác sĩ,[sound:lesson-01-017.mp3]
けんきゅうしゃ,研究者,kenkyuusha,nhà nghiên cứu,[sound:lesson-01-018.mp3]
エンジニア,,enjinia,kỹ sư,[sound:lesson-01-019.mp3]
だいがく,大学,daigaku,"đại học, trường đại học",[sound:lesson-01-020.mp3]
びょういん,病院,byouin,bệnh viện,[sound:lesson-01-021.mp3]
でんき,電気,denki,"điện, đèn điện",[sound:lesson-01-022.mp3]
だれ,,dare,ai,[sound:lesson-01-023.mp3]
どなた,,donata,ai; cách nói lịch sự của だれ,[sound:lesson-01-024.mp3]
さい,歳,sai,tuổi,[sound:lesson-01-025.mp3]
なんさい,何歳,nansai,"mấy tuổi, bao nhiêu tuổi",[sound:lesson-01-026.mp3]
おいくつ,,oikutsu,"mấy tuổi, bao nhiêu tuổi; cách nói lịch sự",[sound:lesson-01-027.mp3]
はい,,hai,"vâng, dạ",[sound:lesson-01-028.mp3]
いいえ,,iie,không,[sound:lesson-01-029.mp3]
しつれいですが,失礼ですが,shitsureidesuga,"xin lỗi,...",[sound:lesson-01-030.mp3]
